Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas,Produto,Produto_limpo,Produto_sem_stopwords
Melissa,Caramelo,Dafiti,Sandália Melissa Free Print Platform Ad Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 229,90","R$ 129,99","R$ 138,29",2x,Sandália Melissa Free Print Platform Ad Caramelo,sandalia melissa free print platform ad caramelo,sandalia melissa free print platform ad caramelo
Melissa,Rosa,Dafiti,Chinelo Melissa Sun Long Rosa,"Calçados,Calçados Femininos,Chinelos","R$ 69,90","R$ 34,99","R$ 37,22",1x,Chinelo Melissa Sun Long Rosa,chinelo melissa sun long rosa,chinelo melissa sun long rosa
Bebecê,Preto,Dafiti,Scarpin Feminino Bebecê Salto Bloco Bico...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 104,99","R$ 111,69",1x,Scarpin Feminino Bebecê Salto Bloco Bico...,scarpin feminino bebece salto bloco bico,scarpin feminino bebece salto bloco bico
Vizzano,Marrom,Dafiti,Rasteira Feminina Vizzano Detalhe Metálico Marrom,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,90","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Vizzano Detalhe Metálico Marrom,rasteira feminina vizzano detalhe metalico marrom,rasteira feminina vizzano detalhe metalico marrom
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Bloco ...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 119,99","R$ 127,65",2x,Sandália Feminina Beira Rio Salto Bloco ...,sandalia feminina beira rio salto bloco,sandalia feminina beira rio salto bloco
Melissa,Preto,Dafiti,Chinelo Slide Melissa Sun Preto,"Calçados,Calçados Femininos,Chinelos","R$ 99,90","R$ 64,99","R$ 69,14",1x,Chinelo Slide Melissa Sun Preto,chinelo slide melissa sun preto,chinelo slide melissa sun preto
Santa Lolla,Nude,Dafiti,Sapatilha Feminina Santa Lolla Bico Fino...,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 169,90","R$ 89,99","R$ 95,73",1x,Sapatilha Feminina Santa Lolla Bico Fino...,sapatilha feminina santa lolla bico fino,sapatilha feminina santa lolla bico fino
Santa Lolla,Dourado,Dafiti,Sandália Feminina Santa Lolla Salto Quad...,"Calçados,Calçados Femininos,Sandálias","R$ 169,90","R$ 139,99","R$ 148,93",2x,Sandália Feminina Santa Lolla Salto Quad...,sandalia feminina santa lolla salto quad,sandalia feminina santa lolla salto quad
Santa Lolla,Branco,Dafiti,Tênis Slip On Santa Lolla Logo Branco,"Calçados,Calçados Femininos,Tênis,Slip On","R$ 139,99","R$ 104,99","R$ 111,69",1x,Tênis Slip On Santa Lolla Logo Branco,tenis slip on santa lolla logo branco,tenis slip on santa lolla logo branco
Vizzano,Bege,Dafiti,Scarpin Vizzano Salto Grosso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 104,99","R$ 111,69",1x,Scarpin Vizzano Salto Grosso Bege,scarpin vizzano salto grosso bege,scarpin vizzano salto grosso bege
VIA UNO,Bege,Dafiti,Sapatilha Via Uno Matelassê Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 89,90","R$ 74,99","R$ 79,78",1x,Sapatilha Via Uno Matelassê Bege,sapatilha via uno matelasse bege,sapatilha via uno matelasse bege
Modare,Caramelo,Dafiti,Rasteira Feminina Modare Aberta Tiras Fi...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Modare Aberta Tiras Fi...,rasteira feminina modare aberta tiras fi,rasteira feminina modare aberta tiras fi
Bebecê,Vinho,Dafiti,Scarpin Bebecê Salto Baixo Vinho,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x,Scarpin Bebecê Salto Baixo Vinho,scarpin bebece salto baixo vinho,scarpin bebece salto baixo vinho
Modare,Marrom,Dafiti,Scarpin Modare Corrente Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 69,99","R$ 74,46",1x,Scarpin Modare Corrente Marrom,scarpin modare corrente marrom,scarpin modare corrente marrom
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Baixa Tiras Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,90","R$ 69,99","R$ 74,46",1x,Sandália Feminina Vizzano Baixa Tiras Preta,sandalia feminina vizzano baixa tiras preta,sandalia feminina vizzano baixa tiras preta
Vizzano,Preto,Dafiti,Tênis Vizzano Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 109,99","R$ 117,01",1x,Tênis Vizzano Preto,tenis vizzano preto,tenis vizzano preto
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,90","R$ 79,99","R$ 85,10",1x,Sandália Feminina Beira Rio Salto Bloco Marrom,sandalia feminina beira rio salto bloco marrom,sandalia feminina beira rio salto bloco marrom
Vizzano,Bege,Dafiti,Scarpin Vizzano Bico Fino Bege,"Calçados,Calçados Femininos,Scarpin","R$ 129,90","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Bico Fino Bege,scarpin vizzano bico fino bege,scarpin vizzano bico fino bege
Bebecê,Marrom,Dafiti,Scarpin Feminino Bebecê Bico Fino Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x,Scarpin Feminino Bebecê Bico Fino Marrom,scarpin feminino bebece bico fino marrom,scarpin feminino bebece bico fino marrom
Modare,Preto,Dafiti,Mocassim Modare Bridão Preto,"Calçados,Calçados Femininos,Mocassim","R$ 119,99","R$ 84,99","R$ 90,41",1x,Mocassim Modare Bridão Preto,mocassim modare bridao preto,mocassim modare bridao preto
Coca Cola,Bege,Dafiti,Tênis Feminino Coca Cola Pingente Garrafa Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 99,99","R$ 106,37",1x,Tênis Feminino Coca Cola Pingente Garrafa Bege,tenis feminino coca cola pingente garrafa bege,tenis feminino coca cola pingente garrafa bege
VIA UNO,Marrom,Dafiti,Sapatilha VIA UNO Croco Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,99","R$ 64,99","R$ 69,14",1x,Sapatilha VIA UNO Croco Marrom,sapatilha via uno croco marrom,sapatilha via uno croco marrom
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Tiras Entrelaç...,"Calçados,Calçados Femininos,Sandálias","R$ 139,99","R$ 104,99","R$ 111,69",1x,Sandália Feminina Vizzano Tiras Entrelaç...,sandalia feminina vizzano tiras entrelac,sandalia feminina vizzano tiras entrelac
Modare,Off-white,Dafiti,Mocassim Tratorado Modare Aplicação Off-White,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 64,99","R$ 69,14",1x,Mocassim Tratorado Modare Aplicação Off-White,mocassim tratorado modare aplicacao off white,mocassim tratorado modare aplicacao off white
Moleca,Nude,Dafiti,Rasteira Feminina Moleca Tiras Entrelaçadas Nude,"Calçados,Calçados Femininos,Rasteirinhas","R$ 69,90","R$ 44,99","R$ 47,86",1x,Rasteira Feminina Moleca Tiras Entrelaçadas Nude,rasteira feminina moleca tiras entrelacadas nude,rasteira feminina moleca tiras entrelacadas nude
Santa Lolla,Preto,Dafiti,Scarpin Santa Lolla Croco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 259,99","R$ 219,99","R$ 234,03",3x,Scarpin Santa Lolla Croco Preto,scarpin santa lolla croco preto,scarpin santa lolla croco preto
Beira Rio,Preto,Dafiti,Sandália Beira Rio Fisherman Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 104,99","R$ 111,69",1x,Sandália Beira Rio Fisherman Preta,sandalia beira rio fisherman preta,sandalia beira rio fisherman preta
Vizzano,Nude,Dafiti,Scarpin Vizzano Salto Grosso Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 104,99","R$ 111,69",1x,Scarpin Vizzano Salto Grosso Nude,scarpin vizzano salto grosso nude,scarpin vizzano salto grosso nude
Bebecê,Vinho,Dafiti,Scarpin Feminino Bebecê Salto Alto Vinho,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",,"R$ 129,99",2x,Scarpin Feminino Bebecê Salto Alto Vinho,scarpin feminino bebece salto alto vinho,scarpin feminino bebece salto alto vinho
Bebecê,Bege,Dafiti,Sapatilha Slingback Bebecê Tira Hotfix Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x,Sapatilha Slingback Bebecê Tira Hotfix Bege,sapatilha slingback bebece tira hotfix bege,sapatilha slingback bebece tira hotfix bege
VIA UNO,Preto,Dafiti,Sapatilha Feminina VIA UNO Slingback Croco Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 109,99",,"R$ 109,99",1x,Sapatilha Feminina VIA UNO Slingback Croco Preta,sapatilha feminina via uno slingback croco preta,sapatilha feminina via uno slingback croco preta
Jorge Bischoff,Off-white,Dafiti,Sapatilha Slingback Jorge Bischoff Lisa Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 449,00","R$ 189,99","R$ 202,12",3x,Sapatilha Slingback Jorge Bischoff Lisa Off-White,sapatilha slingback jorge bischoff lisa off white,sapatilha slingback jorge bischoff lisa off white
VIA UNO,Dourado,Dafiti,Sandália Feminina VIA UNO Anabela Metali...,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 79,99","R$ 85,10",1x,Sandália Feminina VIA UNO Anabela Metali...,sandalia feminina via uno anabela metali,sandalia feminina via uno anabela metali
Santa Lolla,Preto,Dafiti,Sapatilha Santa Lolla Bico Fino Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 249,99","R$ 144,99","R$ 154,24",2x,Sapatilha Santa Lolla Bico Fino Preta,sapatilha santa lolla bico fino preta,sapatilha santa lolla bico fino preta
Vizzano,Bege,Dafiti,Scarpin Vizzano Liso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Liso Bege,scarpin vizzano liso bege,scarpin vizzano liso bege
Vizzano,Off-white,Dafiti,Scarpin Vizzano Slingback Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Slingback Off-White,scarpin vizzano slingback off white,scarpin vizzano slingback off white
VIA UNO,Caramelo,Dafiti,Sandália Via Uno Liso Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,99","R$ 89,99","R$ 95,73",1x,Sandália Via Uno Liso Caramelo,sandalia via uno liso caramelo,sandalia via uno liso caramelo
VIA UNO,Caramelo,Dafiti,Sapatilha Via Uno Matelassê Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 74,99","R$ 79,78",1x,Sapatilha Via Uno Matelassê Caramelo,sapatilha via uno matelasse caramelo,sapatilha via uno matelasse caramelo
VIA UNO,Preto,Dafiti,Sandália Feminina VIA UNO Salto Baixo Preta,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina VIA UNO Salto Baixo Preta,sandalia feminina via uno salto baixo preta,sandalia feminina via uno salto baixo preta
Modare,Preto,Dafiti,Sapatilha Modare Recorte Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,90","R$ 94,99","R$ 94,99",1x,Sapatilha Modare Recorte Preta,sapatilha modare recorte preta,sapatilha modare recorte preta
VIA UNO,Dourado,Dafiti,Rasteirinha Via Uno Metalizada Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 69,99","R$ 44,99","R$ 47,86",1x,Rasteirinha Via Uno Metalizada Dourada,rasteirinha via uno metalizada dourada,rasteirinha via uno metalizada dourada
Bebecê,Caramelo,Dafiti,Sapatilha Bebecê Croco Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 64,99","R$ 69,14",1x,Sapatilha Bebecê Croco Caramelo,sapatilha bebece croco caramelo,sapatilha bebece croco caramelo
Beira Rio,Preto,Dafiti,Sandália Beira Rio Recortes Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 114,99","R$ 89,99","R$ 95,73",1x,Sandália Beira Rio Recortes Preta,sandalia beira rio recortes preta,sandalia beira rio recortes preta
Santa Lolla,Off-white,Dafiti,Tênis Santa Lolla Recorte Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 229,90","R$ 169,99","R$ 180,84",3x,Tênis Santa Lolla Recorte Off-White,tenis santa lolla recorte off white,tenis santa lolla recorte off white
VIA UNO,Preto,Dafiti,Scarpin Feminino VIA UNO Salto Alto Tira...,"Calçados,Calçados Femininos,Scarpin","R$ 159,99","R$ 139,99","R$ 148,93",2x,Scarpin Feminino VIA UNO Salto Alto Tira...,scarpin feminino via uno salto alto tira,scarpin feminino via uno salto alto tira
VIA UNO,Marrom,Dafiti,Sandália VIA UNO Média Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,99","R$ 89,99","R$ 95,73",1x,Sandália VIA UNO Média Marrom,sandalia via uno media marrom,sandalia via uno media marrom
Beira Rio,Marrom,Dafiti,Rasteira Fechada Feminino Beira Rio Apli...,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,99","R$ 79,99","R$ 85,10",1x,Rasteira Fechada Feminino Beira Rio Apli...,rasteira fechada feminino beira rio apli,rasteira fechada feminino beira rio apli
adidas Originals,Off-white,Dafiti,Tênis adidas Originals Samba OG Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 799,99","R$ 751,98","R$ 799,98",10x,Tênis adidas Originals Samba OG Off-White,tenis adidas originals samba og off white,tenis adidas originals samba og off white
Vizzano,Caramelo,Dafiti,Sapatilha Vizzano Bico Fino Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x,Sapatilha Vizzano Bico Fino Caramelo,sapatilha vizzano bico fino caramelo,sapatilha vizzano bico fino caramelo
Bottero,Preto,Dafiti,Bota Bottero Cano Alto Salto Grosso Preta,"Calçados,Calçados Femininos,Botas,Bota Montaria e Cano Longo","R$ 429,99","R$ 369,99","R$ 393,61",6x,Bota Bottero Cano Alto Salto Grosso Preta,bota bottero cano alto salto grosso preta,bota bottero cano alto salto grosso preta
Bebecê,Preto,Dafiti,Sandália Feminina Bebecê Salto Bloco Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 109,99","R$ 89,99","R$ 95,73",1x,Sandália Feminina Bebecê Salto Bloco Preta,sandalia feminina bebece salto bloco preta,sandalia feminina bebece salto bloco preta
Moleca,Off-white,Dafiti,Rasteira Feminina Moleca Fechada Off-White,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,90","R$ 69,99","R$ 74,46",1x,Rasteira Feminina Moleca Fechada Off-White,rasteira feminina moleca fechada off white,rasteira feminina moleca fechada off white
VIA UNO,Caramelo,Dafiti,Tamanco Via Uno Lisa Caramelo,"Calçados,Calçados Femininos,Tamanco","R$ 119,99","R$ 89,99","R$ 95,73",1x,Tamanco Via Uno Lisa Caramelo,tamanco via uno lisa caramelo,tamanco via uno lisa caramelo
Kolosh,Bege,Dafiti,Tênis Kolosh Zíper e Strass Off-White,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,99","R$ 159,99","R$ 170,20",2x,Tênis Kolosh Zíper e Strass Off-White,tenis kolosh ziper e strass off white,tenis kolosh ziper strass off white
VIA UNO,Marrom,Dafiti,Sapatilha Feminina VIA UNO Bico Fino Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99",,"R$ 89,99",1x,Sapatilha Feminina VIA UNO Bico Fino Marrom,sapatilha feminina via uno bico fino marrom,sapatilha feminina via uno bico fino marrom
Santa Lolla,Preto,Dafiti,Tênis Santa Lolla Recortes Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 219,99","R$ 179,99","R$ 191,48",3x,Tênis Santa Lolla Recortes Preto,tenis santa lolla recortes preto,tenis santa lolla recortes preto
Vizzano,Preto,Dafiti,Scarpin Vizzano Liso Preto,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Vizzano Liso Preto,scarpin vizzano liso preto,scarpin vizzano liso preto
Santa Lolla,Marrom,Dafiti,Sapatilha Feminina Santa Lolla Ponta Fina Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 249,90","R$ 199,99","R$ 212,76",3x,Sapatilha Feminina Santa Lolla Ponta Fina Marrom,sapatilha feminina santa lolla ponta fina marrom,sapatilha feminina santa lolla ponta fina marrom
Beira Rio,Preto,Dafiti,Scarpin Beira Rio Salto Agulha Preto,"Calçados,Calçados Femininos,Scarpin","R$ 139,90","R$ 104,99","R$ 111,69",1x,Scarpin Beira Rio Salto Agulha Preto,scarpin beira rio salto agulha preto,scarpin beira rio salto agulha preto
Vizzano,Nude,Dafiti,Sandália Vizzano Tiras Nude,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,99","R$ 69,99","R$ 74,46",1x,Sandália Vizzano Tiras Nude,sandalia vizzano tiras nude,sandalia vizzano tiras nude
Colcci,Preto,Dafiti,Tênis Feminino Colcci Casual Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 269,99","R$ 189,99","R$ 202,12",3x,Tênis Feminino Colcci Casual Preto,tenis feminino colcci casual preto,tenis feminino colcci casual preto
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Baixo Marrom,"Calçados,Calçados Femininos,Tamanco","R$ 109,99","R$ 79,99","R$ 85,10",1x,Sandália Feminina Vizzano Salto Baixo Marrom,sandalia feminina vizzano salto baixo marrom,sandalia feminina vizzano salto baixo marrom
Vizzano,Caramelo,Dafiti,Rasteira Vizzano Fivelas Caramelo,"Calçados,Calçados Femininos,Rasteirinhas","R$ 89,90","R$ 69,99","R$ 74,46",1x,Rasteira Vizzano Fivelas Caramelo,rasteira vizzano fivelas caramelo,rasteira vizzano fivelas caramelo
Moleca,Marrom,Dafiti,Rasteira Papete Moleca Lisa Marrom,"Calçados,Calçados Femininos,Papete","R$ 99,99","R$ 79,99","R$ 85,10",1x,Rasteira Papete Moleca Lisa Marrom,rasteira papete moleca lisa marrom,rasteira papete moleca lisa marrom
Anacapri,Grafite,Dafiti,Rasteira Feminina Anacapri Metalizada Grafite,"Calçados,Calçados Femininos,Rasteirinhas","R$ 109,99","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Anacapri Metalizada Grafite,rasteira feminina anacapri metalizada grafite,rasteira feminina anacapri metalizada grafite
Bebecê,Dourado,Dafiti,Sandália Feminina Bebecê Salto Bloco Tir...,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 79,99","R$ 85,10",1x,Sandália Feminina Bebecê Salto Bloco Tir...,sandalia feminina bebece salto bloco tir,sandalia feminina bebece salto bloco tir
Santa Lolla,Marrom,Dafiti,Sandália Feminina Santa Lolla Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 159,90","R$ 119,99","R$ 127,65",2x,Sandália Feminina Santa Lolla Salto Bloco Marrom,sandalia feminina santa lolla salto bloco marrom,sandalia feminina santa lolla salto bloco marrom
Bebecê,Vinho,Dafiti,Tamanco Bebecê Salto Bloco Vinho,"Calçados,Calçados Femininos,Tamanco","R$ 99,99","R$ 79,99","R$ 85,10",1x,Tamanco Bebecê Salto Bloco Vinho,tamanco bebece salto bloco vinho,tamanco bebece salto bloco vinho
VIA UNO,Preto,Dafiti,Rasteira Feminina Via Uno Tiras Pedrarias Preta,"Calçados,Calçados Femininos,Rasteirinhas","R$ 99,99","R$ 79,99","R$ 85,10",1x,Rasteira Feminina Via Uno Tiras Pedrarias Preta,rasteira feminina via uno tiras pedrarias preta,rasteira feminina via uno tiras pedrarias preta
VIA UNO,Dourado,Dafiti,Rasteira Feminina Via Uno Tira Trançada Dourado,"Calçados,Calçados Femininos,Rasteirinhas","R$ 119,99","R$ 99,99","R$ 106,37",1x,Rasteira Feminina Via Uno Tira Trançada Dourado,rasteira feminina via uno tira trancada dourado,rasteira feminina via uno tira trancada dourado
Bebecê,Nude,Dafiti,Scarpin Feminino Bebecê Tiras Salto Deta...,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x,Scarpin Feminino Bebecê Tiras Salto Deta...,scarpin feminino bebece tiras salto deta,scarpin feminino bebece tiras salto deta
Bebecê,Marrom,Dafiti,Sandália Bebecê Lisa Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 84,99","R$ 90,41",1x,Sandália Bebecê Lisa Marrom,sandalia bebece lisa marrom,sandalia bebece lisa marrom
Santa Lolla,Nude,Dafiti,Rasteira Santa Lolla Nó Nude,"Calçados,Calçados Femininos,Rasteirinhas","R$ 169,90","R$ 129,99","R$ 138,29",2x,Rasteira Santa Lolla Nó Nude,rasteira santa lolla no nude,rasteira santa lolla nude
Vizzano,Nude,Dafiti,Sapatilha Vizzano Bico Fino Nude,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 79,99","R$ 85,10",1x,Sapatilha Vizzano Bico Fino Nude,sapatilha vizzano bico fino nude,sapatilha vizzano bico fino nude
Melissa,Preto,Dafiti,Sandália Feminina Melissa Salto Baixo Tr...,"Calçados,Calçados Femininos,Sandálias","R$ 199,90","R$ 187,90","R$ 199,89",3x,Sandália Feminina Melissa Salto Baixo Tr...,sandalia feminina melissa salto baixo tr,sandalia feminina melissa salto baixo tr
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Salto Bloco Ba...,"Calçados,Calçados Femininos,Sandálias","R$ 149,99","R$ 109,99","R$ 117,01",1x,Sandália Feminina Vizzano Salto Bloco Ba...,sandalia feminina vizzano salto bloco ba,sandalia feminina vizzano salto bloco ba
Bottero,Preto,Dafiti,Bota Bottero Fivela Preto,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 279,99","R$ 154,99","R$ 164,88",2x,Bota Bottero Fivela Preto,bota bottero fivela preto,bota bottero fivela preto
Bebecê,Caramelo,Dafiti,Scarpin Bebecê Texturizado Croco Salto B...,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 89,99","R$ 95,73",1x,Scarpin Bebecê Texturizado Croco Salto B...,scarpin bebece texturizado croco salto b,scarpin bebece texturizado croco salto b
Santa Lolla,Bege,Dafiti,Scarpin Santa Lolla Slingback Bege,"Calçados,Calçados Femininos,Scarpin","R$ 244,99","R$ 164,99","R$ 175,52",2x,Scarpin Santa Lolla Slingback Bege,scarpin santa lolla slingback bege,scarpin santa lolla slingback bege
VIA UNO,Preto,Dafiti,Bota Feminina VIA UNO Cano Baixo Salto Bloco Preta,"Calçados,Calçados Femininos,Botas,Bota Cano Curto","R$ 179,99","R$ 134,99","R$ 143,61",2x,Bota Feminina VIA UNO Cano Baixo Salto Bloco Preta,bota feminina via uno cano baixo salto bloco preta,bota feminina via uno cano baixo salto bloco preta
Vizzano,Preto,Dafiti,Sapatilha Vizzano Verniz Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,90","R$ 84,99","R$ 90,41",1x,Sapatilha Vizzano Verniz Preta,sapatilha vizzano verniz preta,sapatilha vizzano verniz preta
Santa Lolla,Preto,Dafiti,Sandália Feminina Santa Lolla Salto Fino Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Fino","R$ 199,90","R$ 139,99","R$ 148,93",2x,Sandália Feminina Santa Lolla Salto Fino Preta,sandalia feminina santa lolla salto fino preta,sandalia feminina santa lolla salto fino preta
